label,x,y,z
ILF_L_end-P,-22.72878646850586,-82.43952941894531,7.040402889251709
ILF_R_core,37.57181930541992,-46.04190444946289,1.4926481246948242
ILF_R_end-A,41.284358978271484,-14.412066459655762,-17.301105499267578
ILF_R_end-P,26.34138298034668,-73.7132797241211,16.03668212890625
ML_L_core,-22.165515899658203,-20.90033531188965,8.70718002319336
ML_L_end-I,-8.730315208435059,-35.40095520019531,-28.27468490600586
ML_L_end-S,-21.059616088867188,-32.160438537597656,51.2308235168457
ML_R_core,22.393468856811523,-17.943992614746094,7.972339153289795
ML_R_end-I,9.345159530639648,-35.301513671875,-27.754255294799805
ML_R_end-S,21.53713607788086,-28.010671615600586,50.75485610961914
MdLF_L_core,-30.764925003051758,-34.54226303100586,15.897088050842285
MdLF_L_end-I,-50.474403381347656,-12.670427322387695,-1.91266667842865
MdLF_L_end-S,-22.34682273864746,-54.2713508605957,44.94112777709961
MdLF_R_core,31.96834945678711,-33.098602294921875,17.844757080078125
MdLF_R_end-I,51.812835693359375,-14.975276947021484,2.9883806705474854
MdLF_R_end-S,24.99310302734375,-51.17346954345703,44.097511291503906
OR_L_core,-34.45101547241211,-53.435325622558594,5.857071876525879
OR_L_end-A,-25.167234420776367,-27.605173110961914,0.747145414352417
OR_L_end-P,-17.69819450378418,-84.28861999511719,5.815728187561035
OR_R_core,34.79164505004883,-54.09977340698242,7.770727634429932
OR_R_end-A,24.94361114501953,-28.145505905151367,2.9629409313201904
OR_R_end-P,20.368223190307617,-83.89525604248047,5.365114688873291
PAT_L_core,-38.380393981933594,-50.75586700439453,15.639239311218262
PAT_L_end-I,-47.387786865234375,-50.95123291015625,-1.309345006942749
PAT_L_end-S,-44.328575134277344,-53.137943267822266,31.88241195678711
PAT_R_core,40.279762268066406,-48.76866912841797,14.461790084838867
PAT_R_end-I,49.15868377685547,-47.262176513671875,-0.764465868473053
PAT_R_end-S,42.94088363647461,-50.782264709472656,29.517724990844727
RST_L_core,-14.553632736206055,-0.526954174041748,5.237002849578857
RST_L_end-I,-1.7083884477615356,-31.727142333984375,-20.52593994140625
RST_L_end-S,-20.874635696411133,32.77791213989258,26.954593658447266
RST_R_core,13.600916862487793,-0.3096100389957428,3.123189926147461
RST_R_end-I,1.8898780345916748,-32.71204376220703,-23.760751724243164
RST_R_end-S,23.15424156188965,36.80521774291992,16.23705291748047
SLF1_L_core,-11.734085083007812,-6.118680953979492,36.51603698730469
SLF1_L_end-A,-12.713580131530762,17.632457733154297,42.255760192871094
SLF1_L_end-P,-15.941144943237305,-34.40024185180664,38.60322952270508
SLF1_R_core,13.072589874267578,-6.8124284744262695,36.62724304199219
SLF1_R_end-A,11.683131217956543,19.79486083984375,49.997501373291016
SLF1_R_end-P,13.541876792907715,-33.30790710449219,50.28744125366211
SLF3_L_core,-44.24689483642578,-20.558944702148438,29.271690368652344
SLF3_L_end-A,-52.042259216308594,-3.8622164726257324,20.731046676635742
SLF3_L_end-P,-50.204315185546875,-37.83384323120117,32.491939544677734
SLF3_R_core,42.73283004760742,-14.022255897521973,27.98790740966797
SLF3_R_end-A,47.16389465332031,1.7361247539520264,17.129135131835938
SLF3_R_end-P,46.185691833496094,-30.87483787536621,36.634742736816406
TR_A_L_core,-19.471942901611328,22.356189727783203,7.226922512054443
TR_A_L_end-A,-23.705366134643555,41.94261169433594,10.909432411193848
TR_A_L_end-P,-9.904354095458984,0.6753312349319458,6.582898139953613
TR_A_R_core,21.74562644958496,21.822853088378906,7.381570339202881
TR_A_R_end-A,25.634483337402344,42.568660736083984,10.677072525024414
TR_A_R_end-P,11.5436429977417,0.16628889739513397,4.696179389953613
TR_P_L_core,-29.493703842163086,-46.937103271484375,21.18589210510254
TR_P_L_end-A,-24.029518127441406,-30.94746971130371,10.712916374206543
TR_P_L_end-P,-24.09514808654785,-61.687191009521484,33.31816482543945
TR_P_R_core,33.77123260498047,-45.57832336425781,16.091135025024414
TR_P_R_end-A,24.748992919921875,-28.70217514038086,9.842785835266113
TR_P_R_end-P,30.133222579956055,-63.58222961425781,27.507461547851562
TR_S_L_core,-24.873023986816406,-5.153625965118408,25.785791397094727
TR_S_L_end-I,-17.20140838623047,-11.242366790771484,12.377620697021484
TR_S_L_end-S,-29.190479278564453,-2.0639846324920654,38.647789001464844
TR_S_R_core,26.90854263305664,-10.331853866577148,28.246610641479492
TR_S_R_end-I,19.97834014892578,-13.988962173461914,14.452022552490234
TR_S_R_end-S,31.152677536010742,-7.898449420928955,40.56616973876953
UF_L_core,-25.156064987182617,12.507698059082031,-12.306986808776855
UF_L_end-A,-19.238452911376953,35.605690002441406,-11.849244117736816
UF_L_end-P,-36.446929931640625,-0.13906429708003998,-23.208698272705078
UF_R_core,23.724510192871094,14.987166404724121,-10.54647445678711
UF_R_end-A,18.395479202270508,41.987003326416016,-10.57778263092041
UF_R_end-P,36.70597839355469,1.6146043539047241,-24.335676193237305
VOF_L_core,-26.509387969970703,-79.14144134521484,10.443925857543945
VOF_L_end-I,-33.22711944580078,-78.18603515625,-1.6801300048828125
VOF_L_end-S,-20.828304290771484,-86.38249969482422,21.381025314331055
VOF_R_core,27.170867919921875,-78.78404998779297,8.820052146911621
VOF_R_end-I,32.75442123413086,-78.03126525878906,-1.177801489830017
VOF_R_end-S,24.341487884521484,-85.81150817871094,17.824663162231445
